"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx","_2cbZ2 href"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1200-sq-ft-in-jhungian-mohali-iid-1846767573","https://apollo.olx.in/v1/files/fvxzgriz4ozv3-IN/image;s=150x0;q=50;f=webp;","₹ 9,500","2 BHK - 1 Bathroom - 1200 sqft","2 room set semi furnished","Jhungian, Mohali","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1600-sq-ft-in-kharar-punjab-iid-1846559493","https://apollo.olx.in/v1/files/spvlh7xfobgn-IN/image;s=150x0;q=50;f=webp;","₹ 30,000","3 BHK - 3 Bathroom - 1600 sqft","3bhk fully furnished near omega city in palm meadows NH","Kharar, Punjab","Jun 15",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-750-sq-ft-in-kharar-punjab-iid-1846087558","https://apollo.olx.in/v1/files/sklf5wa9if391-IN/image;s=150x0;q=50;f=webp;","₹ 17,000","1 BHK - 1 Bathroom - 750 sqft","Full furnished","Kharar, Punjab","Jun 14",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-900-sq-ft-in-kharar-punjab-iid-1846420480","https://apollo.olx.in/v1/files/uqc259tiqn1t2-IN/image;s=150x0;q=50;f=webp;","₹ 26,500","3 BHK - 3 Bathroom - 900 sqft","Full kothi for rent","Kharar, Punjab","Jun 14",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-600-sq-ft-in-janta-nagar-kharar-iid-1846274926","https://apollo.olx.in/v1/files/y2up4795ugdk2-IN/image;s=150x0;q=50;f=webp;","₹ 13,000","1 BHK - 1 Bathroom - 600 sqft","One bhk fully furnished independent 2nd floor in City heart Kharar","Janta Nagar, Kharar","Jun 13",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-300-sq-ft-in-thatheryan-mohalla-kharar-iid-1845978003","https://apollo.olx.in/v1/files/6n8ztz4roqe71-IN/image;s=150x0;q=50;f=webp;","₹ 8,999","3 BHK - 1 Bathroom - 300 sqft","1 KITCHEN/ GEEZER /WASHROOM /1FAN/ 1BED SET/2 BIKE PARKING/ 1 CAR","Thatheryan Mohalla, Kharar","Jun 10",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-2000-sq-ft-in-kharar-punjab-iid-1845949893","https://apollo.olx.in/v1/files/46bvmvkgih621-IN/image;s=150x0;q=50;f=webp;","₹ 35,000","3 BHK - 3 Bathroom - 2000 sqft","3bhk fully furnished flat owner free","Kharar, Punjab","Jun 09",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-0-sq-ft-in-kharar-punjab-iid-1845746120","https://apollo.olx.in/v1/files/vo67grbkufov3-IN/image;s=150x0;q=50;f=webp;","₹ 23,000","2 BHK - 2 Bathroom - 0 sqft","Only for girls","Kharar, Punjab","Jun 08",""
"","https://apollo.olx.in/v1/files/odobj0wjo1y5-IN/image;s=150x0;q=50;f=webp;","₹ 13,000","2 BHK - 2 Bathroom - 00 sqft","2bhk for rent aman city kharar","Jhungian, Mohali","Jun 07","https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-00-sq-ft-in-jhungian-mohali-iid-1845728805"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1025-sq-ft-in-kharar-punjab-iid-1845674005","https://apollo.olx.in/v1/files/bnweve4tlazn2-IN/image;s=150x0;q=50;f=webp;","₹ 17,000","2 BHK - 2 Bathroom - 1025 sqft","Owner free","Kharar, Punjab","Jun 07",""
"","","₹ 15,000","2 BHK - 2 Bathroom - 1350 sqft","2 BHK INDEPENDENT FLOOR","Sunny Enclave, Kharar","4 days ago","https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-sunny-enclave-kharar-iid-1847890955"
"","","₹ 8,500","1 BHK - 1 Bathroom - 1500 sqft","Room for boys,girls and couples near Chandigarh university","Khanpur, Kharar","Yesterday","https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1500-sq-ft-in-khanpur-kharar-iid-1847941390"
"","","₹ 19,000","2 BHK - 2 Bathroom - 900 sqft","Fully Furnished 2BHK Independent Flat/Floor in Sunny Enclave","Sector 125, Mohali","Yesterday","https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-sector-125-mohali-iid-1848645551"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-00000-sq-ft-in-sunny-enclave-kharar-iid-1848683393","","₹ 28,000","3 BHK - 3 Bathroom - 00000 sqft","Flat for rent 28000/- with maintenance","Sunny Enclave, Kharar","Today",""
"","","₹ 17,000","1 BHK - 1 Bathroom - 900 sqft","1bhk sbp north valley","Sante Majra, Kharar","Today","https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-900-sq-ft-in-sante-majra-kharar-iid-1848683139"
"","","₹ 12,000","1 BHK - 1 Bathroom - 1050 sqft","1bhk furnished rent 12k married couple preferRent 12k smart homes sec","Sector 115, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1000-sq-ft-in-jtpl-township-kharar-iid-1848681940","","₹ 28,000","3 BHK - 2 Bathroom - 1000 sqft","Fully furnished flat 3bhk","JTPL Township, Kharar","Today",""
"","","₹ 16,000","2 BHK - 2 Bathroom - 1050 sqft","2bhk semi furnished rent 16k ground floor commercial proptey 1st floor","Sector 125, Mohali","Today",""
"","","₹ 24,000","2 BHK - 2 Bathroom - 1050 sqft","2 bhk furnished sec 117 Govind enclave for everyoneRoyal property","Sector 117, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-400-sq-ft-in-main-bazar-kharar-iid-1848679708","","₹ 3,800","2 BHK - 2 Bathroom - 400 sqft","Need a girl roommate 2 for girl's flat","Main Bazar, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1600-sq-ft-in-sector-115-mohali-iid-1848250832","","₹ 5,000","3 BHK - 3 Bathroom - 1600 sqft","Female tenant for a 3BHK flat","Sector 115, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-individual-house-villa-891-sq-ft-in-sector-92-mohali-iid-1848239923","","₹ 16,000","2 BHK - 2 Bathroom - 891 sqft","2 bhk for rent only girls/married couples","Sector 92, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-282992-sq-ft-in-main-bazar-kharar-iid-1848669847","","₹ 4,500","3 BHK - 2 Bathroom - 282992 sqft","1 room in 3 bhk","Main Bazar, Kharar","Today",""
"","","₹ 23,000","2 BHK - 2 Bathroom - 1300 sqft","Fully furnished flat is available for rent in Amayra","Khanpur, Kharar","Today","https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1300-sq-ft-in-khanpur-kharar-iid-1848677566"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-1100-sq-ft-in-sunny-enclave-kharar-iid-1848286082","","₹ 13,000","1 BHK - 1 Bathroom - 1100 sqft","One room with kitchen","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-650-sq-ft-in-sunny-enclave-kharar-iid-1848260363","","₹ 7,000","1 BHK - 1 Bathroom - 650 sqft","AC room in 2bhk","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1900-sq-ft-in-sector-117-mohali-iid-1848677047","","₹ 30,000","3 BHK - 3 Bathroom - 1900 sqft","3bhk Fully Furnished everything in flat","Sector 117, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-450-sq-ft-in-mundi-kharar-ward-no-3-kharar-iid-1848676460","","₹ 7,500","1 BHK - 1 Bathroom - 450 sqft","ONE ROOM STUDIO APARTMENT AVAILABLE FOR RENT MUNDI KHARAR","Mundi Kharar Ward No 3, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1847866201","","₹ 15,000","2 BHK - 2 Bathroom - 1 sqft","2bhk flat floor indepndt owner free nav floor jhugia road mundi kharar","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1150-sq-ft-in-sector-125-mohali-iid-1846391486","","₹ 13,000","2 BHK - 2 Bathroom - 1150 sqft","Sec 125 desu majra","Sector 125, Mohali","Today",""
"","","₹ 14,000","2 BHK - 2 Bathroom - 975 sqft","2BHK POCKET FRIENDLY NEAR UIC-Chandigarh University","Khanpur, Kharar","Jun 22","https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-975-sq-ft-in-khanpur-kharar-iid-1847163839"
"","","₹ 80,000","4 BHK - 4 Bathroom - 2600 sqft","3+1 semi furnished in Marbela Grand","Airport Road, Mohali","Jun 21","https://www.olx.in/item/for-rent-houses-apartments-c1723-4-bhk-apartments-2600-sq-ft-in-airport-road-mohali-iid-1839164306"
"","","₹ 6,000","1 BHK - 1 Bathroom - 190 sqft","PG for Girls and Boys","Guru Teg Bahadur Nagar, Kharar","Jun 24","https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-190-sq-ft-in-guru-teg-bahadur-nagar-kharar-iid-1847432593"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1846096676","","₹ 7,500","1 BHK - 1 Bathroom - 1 sqft","1rk rooms Ac 9000 non Ac 7500 indepndt Mundi kharar near highway markt","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1846097362","","₹ 6,000","1 BHK - 1 Bathroom - 1 sqft","1rk rooms indepndt Mundi khrar near sunny enclave near highway","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1846099301","","₹ 14,500","2 BHK - 2 Bathroom - 1 sqft","2bhk, 3bhk furnishd, unfurnishd indepndt near sunny enclave owner free","Sunny Enclave, Kharar","Today",""
