"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-200-sq-ft-in-mohali-punjab-iid-1848332201","https://apollo.olx.in/v1/files/0jmp6f8tc6zm-IN/image;s=150x0;q=50;f=webp;","₹ 23,000","2 BHK - 2 Bathroom - 200 sqft","2bhk phase 2 phase 7","Mohali, Punjab","4 days ago"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-3000-sq-ft-in-mohali-punjab-iid-1848090891","https://apollo.olx.in/v1/files/1baznk1w13s21-IN/image;s=150x0;q=50;f=webp;","₹ 11,000","1 BHK - 1 Bathroom - 3000 sqft","Single room available for sharing with all amenities","Mohali, Punjab","6 days ago"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-00-sq-ft-in-mohali-punjab-iid-1847867770","https://apollo.olx.in/v1/files/wrugamjwpczt2-IN/image;s=150x0;q=50;f=webp;","₹ 8,000","1 BHK - 1 Bathroom - 00 sqft","need female roommate","Mohali, Punjab","Jun 29"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1100-sq-ft-in-mohali-punjab-iid-1847139361","https://apollo.olx.in/v1/files/gvni4hidmysl3-IN/image;s=150x0;q=50;f=webp;","₹ 9,000","1 BHK - 1 Bathroom - 1100 sqft","1 room in 3bhk","Mohali, Punjab","Jun 21"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-200-sq-ft-in-mohali-punjab-iid-1846387168","https://apollo.olx.in/v1/files/ww2208lh0fiy2-IN/image;s=150x0;q=50;f=webp;","₹ 19,000","1 BHK - 1 Bathroom - 200 sqft","Furnished 1 bhk set for working girls facing park near Chd market","Mohali, Punjab","Jun 14"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-2000-sq-ft-in-mohali-punjab-iid-1846340089","https://apollo.olx.in/v1/files/yo9q8j9xsxie1-IN/image;s=150x0;q=50;f=webp;","₹ 22,000","2 BHK - 2 Bathroom - 2000 sqft","Beautiful peaceful place to Live","Mohali, Punjab","Jun 13"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-10000000-sq-ft-in-mohali-punjab-iid-1845812992","","₹ 9,500","1 BHK - 1 Bathroom - 10000000 sqft","Fully furnished 1 bhk avalaible for rent in tdi city 117 mohalli","Mohali, Punjab","Jun 08"
"","https://apollo.olx.in/v1/files/8gwgvekkf6831-IN/image;s=150x0;q=50;f=webp;","₹ 35,000","3 BHK - 3 Bathroom - 3000 sqft","3bhk semi ( 69 sector mohali)","Sector 69, Mohali","Jun 22"
"","https://apollo.olx.in/v1/files/6umjpr30pxhm1-IN/image;s=150x0;q=50;f=webp;","₹ 25,500","3 BHK - 2 Bathroom - 1600 sqft","68 sector mohali (for famly) only","Sector 68, Mohali","Today"
"","","₹ 30,000","2 BHK - 2 Bathroom - 550 sqft","Well furnished spacious near all amneties park facing clean spacious","Sector 69, Mohali","6 days ago"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-3000-sq-ft-in-airport-road-mohali-iid-1848699926","https://apollo.olx.in/v1/files/2tw2tfwzidvo2-IN/image;s=150x0;q=50;f=webp;","₹ 11,000","1 BHK - 1 Bathroom - 3000 sqft","One single room in sharing available in 2bhk","Airport Road, Mohali","Today"
"","","₹ 20,000","2 BHK - 1 Bathroom - 1050 sqft","*Available For Rent*
2bhk flat
Furnished 
Rent 20k 
Royal Property","Industrial Area Phase 7, Mohali","Today"
"","https://apollo.olx.in/v1/files/gddm5j1kgt8u1-IN/image;s=150x0;q=50;f=webp;","₹ 54,500","3 BHK - 4 Bathroom - 2525 sqft","PREMIUM 3+1 BHK LUXURY APARTMENT FOR RENT – GREEN LOTUS UTSAV, PR7","Airport Road, Mohali","Today"
"","https://apollo.olx.in/v1/files/jzhip5nzyylp3-IN/image;s=150x0;q=50;f=webp;","₹ 16,000","1 BHK - 1 Bathroom - 700 sqft","1 BHK FULLY FURNISHED / 300 UNITS FREE","Sector 126, Kharar","Today"
"","https://apollo.olx.in/v1/files/757ufdmi35lq3-IN/image;s=150x0;q=50;f=webp;","₹ 26,000","3 BHK - 3 Bathroom - 1050 sqft","3bhk 3washroom kitchen hall onlyAny party 6th floor sbp Homes sec 126","Sector 126, Kharar","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-4-bhk-apartments-2480-sq-ft-in-airport-road-mohali-iid-1845911680","https://apollo.olx.in/v1/files/zim4xwuurr6e1-IN/image;s=150x0;q=50;f=webp;","₹ 60,000","4 BHK - 4+ Bathroom - 2480 sqft","3+1 Bhk Luxury flat for rent in  JLPL Falcon view","Airport Road, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1500-sq-ft-in-daun-mohali-iid-1848313103","","₹ 17,500","2 BHK - 2 Bathroom - 1500 sqft","165 gaj kothi","Daun, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-660-sq-ft-in-sector-63-mohali-iid-1848176699","https://apollo.olx.in/v1/files/n0uo6jba545j2-IN/image;s=150x0;q=50;f=webp;","₹ 16,000","1 BHK - 2 Bathroom - 660 sqft","Available 1 bhk / 2bhk 3bhk","Sector 63, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-landran-mohali-iid-1848539555","https://apollo.olx.in/v1/files/ltid0uw8v1xo3-IN/image;s=150x0;q=50;f=webp;","₹ 4,500","2 BHK - 2 Bathroom - 1000 sqft","Room Partner Required  ₹4500/Month  2BHK Furnished Flat","Landran, Mohali","Today"
"","https://apollo.olx.in/v1/files/vhaik3wrw6t93-IN/image;s=150x0;q=50;f=webp;","₹ 45,000","3 BHK - 3 Bathroom - 1050 sqft","Fully furnished independent 3 bhk with attached independent washroom t","Sector 68, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1800-sq-ft-in-sector-99-mohali-iid-1846310589","https://apollo.olx.in/v1/files/fi6s0m9k1j732-IN/image;s=150x0;q=50;f=webp;","₹ 35,000","3 BHK - 2 Bathroom - 1800 sqft","3 BHK fully furnished flat for rent in sector 99","Sector 99, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1850-sq-ft-in-sector-88-mohali-iid-1839094024","https://apollo.olx.in/v1/files/hh7mpng7kfzg2-IN/image;s=150x0;q=50;f=webp;","₹ 52,999","3 BHK - 3 Bathroom - 1850 sqft","3bhk hero homes fully furnished flat available for rent","Sector 88, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1950-sq-ft-in-sector-99-mohali-iid-1839093621","https://apollo.olx.in/v1/files/i93rx2r7on4c2-IN/image;s=150x0;q=50;f=webp;","₹ 52,999","3 BHK - 3 Bathroom - 1950 sqft","3bhk Noble willasa fully furnished flat available for rent","Sector 99, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1200-sq-ft-in-sector-79-mohali-iid-1839092163","https://apollo.olx.in/v1/files/in3iubfq1w38-IN/image;s=150x0;q=50;f=webp;","₹ 21,999","1 BHK - 1 Bathroom - 1200 sqft","1bhk fully furnished flat available for rent","Sector 79, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-2500-sq-ft-in-sector-88-mohali-iid-1839054797","https://apollo.olx.in/v1/files/s124css68lai-IN/image;s=150x0;q=50;f=webp;","₹ 29,999","2 BHK - 2 Bathroom - 2500 sqft","2bhk Purab premium apartment available for rent","Sector 88, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-900-sq-ft-in-sector-117-mohali-iid-1839050473","https://apollo.olx.in/v1/files/f5triaia4bwf-IN/image;s=150x0;q=50;f=webp;","₹ 12,999","1 BHK - 1 Bathroom - 900 sqft","1room dream homes available in 2bhk for girls","Sector 117, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1800-sq-ft-in-sector-77-mohali-iid-1839038352","https://apollo.olx.in/v1/files/8nubsumtk0c92-IN/image;s=150x0;q=50;f=webp;","₹ 24,999","2 BHK - 2 Bathroom - 1800 sqft","2bhk owner free Fully furnished flat available for rent","Sector 77, Mohali","Today"
"","https://apollo.olx.in/v1/files/vgbcj5lsfswg1-IN/image;s=150x0;q=50;f=webp;","₹ 60,000","3 BHK - 3 Bathroom - 2700 sqft","Newly built 3bhk for rent","Sector 79, Mohali","Yesterday"
"","https://apollo.olx.in/v1/files/tssfruou7ezu1-IN/image;s=150x0;q=50;f=webp;","₹ 20,000","2 BHK - 2 Bathroom - 2000 sqft","2bhk semi( 80 sector)","Sector 80, Mohali","4 days ago"
"","https://apollo.olx.in/v1/files/gbczb6etx5x73-IN/image;s=150x0;q=50;f=webp;","₹ 60,000","3 BHK - 4 Bathroom - 2250 sqft","3 +1bhk  fully furnished flat sector 91","Sector 91, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1850-sq-ft-in-sector-126-mohali-iid-1839180347","https://apollo.olx.in/v1/files/k3054l2anlda2-IN/image;s=150x0;q=50;f=webp;","₹ 27,000","2 BHK - 2 Bathroom - 1850 sqft","2bhk Dream icon flat available for rent","Sector 126, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-flats-apartments-1850-sq-ft-in-sector-126-mohali-iid-1839179932","https://apollo.olx.in/v1/files/goxrblqutonx2-IN/image;s=150x0;q=50;f=webp;","₹ 47,000","3 BHK - 3 Bathroom - 1850 sqft","3bhk Gilco parkhills fully furnished flat available for rent","Sector 126, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-21-sq-ft-in-sector-126-mohali-iid-1839179703","https://apollo.olx.in/v1/files/hkxb22akoped-IN/image;s=150x0;q=50;f=webp;","₹ 37,999","2 BHK - 2 Bathroom - 21 sqft","2bhk Gilco parkhills flat available for rent","Sector 126, Mohali","Today"
